French;English
de;of
je;i
est;east
pas;not
le;the
que;that
la;there
vous;you
tu;you
un;a
c';it's
à;has
et;and
il;he
a;has
l';l'
ne;born
les;the
j';i
en;in
on;we
ça;that
une;a
d';of
ce;this
qu';that
pour;for
ai;ai
n';n'
des;of the
qui;who
mais;but
dans;in
nous;we
elle;she
me;me
bien;good
si;if
du;of
y;y
suis;am
non;no
t';you
avec;with
tout;all
plus;more
mon;my
m';me
te;you
au;at
fait;do
moi;me
s';if
oui;yes
va;go
était;was
as;ace
faire;to do
ils;they
sur;on
quoi;what
se;se
comme;as
sais;know
être;be
veux;want
ici;here
ma;my
toi;you
est-ce;is this
dit;said
lui;him
votre;your
es;are
pourquoi;why
où;or
là;there
rien;nothing
cette;this
sont;are
quand;when
peux;can
dire;say
son;her
avez;have
vais;go
alors;so
ton;your
comment;how
par;by
ou;or
chose;thing
bon;good
ont;have
merci;thanks
juste;just
très;very
jamais;never
été;summer
aussi;also
avoir;to have
vraiment;really
voir;see
même;even
sa;its
oh;oh
maintenant;now
tous;all
peut;can
deux;two
ces;these
êtes;are
allez;go on
ta;your
autre;other
peu;little
temps;time
quelque;some
fais;do 
toujours;always
encore;again
notre;our
mes;my
besoin;need
avait;had
accord;agreement
faut;must
dois;have to
vie;life
peut-être;maybe
aller;go
fois;times
vu;seen
donc;so
sans;without
monde;world
étais;was
parce;because
avant;before
sûr;on
trop;too much
quelqu';someone
parler;talk
personne;person
avais;had
père;father
crois;believe
après;after
aux;to
dieu;god
ouais;yeah
ses;his
pense;think
eu;had
aime;love
leur;their
homme;man
viens;come
vrai;true
femme;women
ok;ok
doit;must
veut;wanna
ans;years
m.;mr.
mal;wrong
chez;at the house of
déjà;already
depuis;since
beaucoup;a lot
vos;your
bonne;good
mort;dead
mieux;better
vas;go
mère;mother
sera;will be
dis;say
fille;girl
tes;your 
gens;people
quel;what
vois;see 
désolé;sorry
ca;that
voilà;there
avons;have
petit;little
maison;house
soit;either
cela;that
autres;others
toute;all
soir;evening
passé;pass
prendre;take
jour;day
monsieur;sir
nos;our
savoir;know
choses;things
salut;hi
cet;this
nom;name
argent;money
bonjour;good morning
nuit;night
raison;reason
moins;less
arrive;arrived
maman;mom
reste;stay
moment;moment
voulais;wanted
seul;alone
aider;help
air;air
entre;between
papa;dad
passe;pass
aurais;would have
problème;issue
ah;oh
peur;fear
regarde;look at
voulez;want
gars;guys
trouvé;find
fils;son
attends;wait
savez;know
jusqu';until
trouver;find
trois;three
assez;enough
famille;family
dû;of
eh;eh
toutes;all
plaît;please
pourrait;could
travail;work
pris;taken
pu;could
tête;head
quelle;what
sait;knows
sommes;are
appelle;calls
quelques;a few
faites;do
partir;leave
vite;quickly
arrête;stop
seule;alone
serait;would be
voiture;car
enfants;children
tuer;kill
merde;shit
hé;hey
pendant;during
idée;idea
chance;chance
parle;speak
aurait;would have
part;leaves
elles;they
jours;days
grand;big
aujourd'hui;today
venir;come
ami;friend
demain;tomorrow
hein;eh
tard;late
puis;then
truc;thing
passer;pass
petite;small
tant;so much
connais;know
combien;how much
mec;dude
sens;sense
pouvez;can
porte;door
sortir;to go out
super;great
heure;hour
contre;against
coup;cut
comprends;understand
entendu;heard
vient;come
allons;let's go
ensemble;together
nouveau;new
amour;love
importe;imported
sang;blood
désolée;sorry
cas;case
sous;below
rester;stay
amis;friends
prends;take
fini;finished
hommes;men
tué;killed
question;question
partie;part
histoire;history
devrais;should
aide;help
dernière;last
demande;request
chercher;seek
pensais;thought
genre;gender
seulement;only
police;police
car;because
mois;month
frère;brother
laisser;to leave 
aucun;none
mettre;put
eux;them
laisse;leave alone
chaque;each
ville;city
arrivé;arrived
devrait;should
parlé;speak
avez-vous;do you have
vont;are going
longtemps;a long time
aucune;none
heures;hours
bébé;baby
place;place
revoir;goodbye
putain;damn
compris;understood
ni;neither
savais;knew
leurs;their
étaient;were
attention;attention
donner;give
affaire;affair
endroit;place
pourrais;could
corps;body
façon;way
donné;given
est-il;is he
voici;here is
train;train
dont;of which
écoute;listen
yeux;eyes
trouve;find
pouvoir;power
type;kind
perdu;lost
premier;first
première;first
côté;side
point;point
tellement;such
main;hand
tiens;hold
sois;be
enfant;child
vieux;old
matin;morning
venu;came
pardon;pardon
là-bas;over there
suite;following
vers;towards
minutes;minutes
demandé;request
venez;come
devant;in front
dr;dr.
enfin;finally
arrêter;stop
cause;cause
nouvelle;new
attendez;wait
chambre;bedroom
droit;right
parti;party
mis;put
eau;water
compte;account
dirait;would say
terre;earth
belle;beautiful
espère;hope
aimerais;would like
loin;far
as-tu;do you have
mari;husband
donne;given
fin;end
croire;believe
mme;mrs
aura;will have
gros;fat
boulot;job
plutôt;instead
chérie;dear
prêt;ready
filles;girls
bureau;desk
mourir;die
hier;yesterday
possible;possible
jouer;play
demander;ask
celui;the one
voulait;wanted
beau;beautiful
jeune;young
euh;uh
dehors;out
docteur;doctor
a-t-il;did he
confiance;trust
appeler;to call
années;years
vérité;truth
école;school
chef;chief
femmes;women
propos;about
semaine;week
vivre;live
regardez;look
feu;fire
journée;daytime
madame;mrs
hey;hey
téléphone;phone
près;close
affaires;business
meilleur;best
devez;must
dessus;above
mains;hands
penses;think
prie;pray
équipe;team
vas-y;go ahead
grande;big
manger;eat
arriver;arrive
dur;hard
guerre;war
ait;have
appelé;called
marche;walk
sécurité;security
garçon;boy
essaie;try
important;important
dites;say
exactement;exactly
font;make
fort;strong
presque;almost
plein;full
derrière;behind
ben;well
mariage;marriage
parents;parents
capitaine;captain
dernier;last
fou;mad
ceux;those
tomber;to fall
attendre;to wait for
vue;view
pensé;think
souviens;remember
envie;envy
fête;party
jeu;game
génial;awesome
pays;country
garde;guard
cours;course
bientôt;soon
ii;ii
numéro;number
personnes;people
cinq;five
parfait;perfect
excusez-moi;excuse me
laissé;leave alone
ainsi;thus
retour;back
semble;seems
autant;as much
peine;penalty
minute;minute
essayé;try
plan;plan
instant;moment
serai;will be
prison;prison
penser;think
essayer;to try
prend;takes
arme;armed
mauvais;bad
mot;word
travailler;to work
quatre;four
rentrer;to return
regarder;look
choix;choice
êtes-vous;are you
parfois;sometimes
film;movie
abord;on board
voyez;see
faute;mistake
facile;easy
croyais;believed
bas;down
changer;to change
entendre;hear
plaisir;pleasure
heureux;happy
entrer;enter
voudrais;would like
es-tu;are you
propre;own
étiez;were
tour;round
fera;will do
ensuite;next
garder;keep
agent;agent
allait;was going
lit;bed
travaille;work
adore;love
amie;friend
rendre;give back
allons-y;let's go
route;road
lieu;place
année;year
voit;see
commence;begin
service;service
devoir;duty
attend;wait
drôle;funny
difficile;difficult
sûre;safe
pire;worse 
pos;pos
peuvent;can
sujet;subject
état;state
ceci;this
impossible;impossible
sorte;sort
perdre;lose
dollars;dollars
voulu;wanted
morte;dead
ira;will go
faisait;did
bizarre;weird
oublié;forget
arrêtez;stop
ferai;will do
serais;would be
tôt;early
inquiète;worry
payer;pay
coeur;heart
dès;of the
pouvais;could
reviens;come back
chien;dog
suffit;enough
prenez;take
pensez;think
café;coffee
calme;calm
cherche;look for
montrer;to show
parles;speak
photo;photo
ferme;farm
problèmes;problems
the;tea
cœur;heart
sûrement;certainly
verre;glass
aimes;love
devons;must
veulent;want
doute;doubt
musique;music
courant;fluent
sauf;except
moyen;average
nouvelles;news
puis-je;can i
avis;notice
sauver;save
hôpital;hospital
questions;questions
meurtre;murder
sérieux;serious
seconde;second
trucs;stuff
comprendre;to understand
allais;were going
esprit;spirit
cool;cool
mlle;miss
marché;walk
fous;crazy
laisse-moi;leave me
haut;high
salle;room
malade;sick
changé;exchange
gentil;kind
allé;gone
six;six
simple;simple
john;john
semaines;weeks
celle;that
jack;jack
appris;learned
seigneur;lord
dîner;dinner
sors;get out
commencé;begin
suppose;assumed
chemin;path
partout;everywhere
bras;arm
cul;ass
prochaine;next
visage;face
h;h
meilleure;best
face;face
soirée;evening
roi;king
surtout;above all
retard;delay
écrit;writing
livre;book
rapport;report
chéri;dear
message;message
voulez-vous;do you want
vaut;worth
ferais;would do
morts;dead
boire;drink
soyez;be
président;president
plait;please
bois;drink
sinon;otherwise
erreur;error
new;new
ecoute;listen
mr;mr
rentre;go home
rendez-vous;appointment
devait;had to
revenir;to come back
joue;plays
pauvre;poor
devenir;become
s;s
rencontrer;meet
sort;spell
commencer;to start
pouvait;could
occupe;busy
entends;hear
souvent;often
pièce;piece
reçu;received
grave;severe
mets;put
intérieur;interior
honneur;honor
dormir;sleep
an;year
faux;fake
messieurs;gentlemen
groupe;band
rêve;dream
carte;map 
aviez;had
appel;call
manque;lack
envoyé;sent
début;beginning
sam;sat
puisse;can
écoutez;listen
laissez-moi;leave me
bonsoir;good evening
content;thrilled
secret;secret
venue;coming
cher;dear
dis-moi;tell me
effet;effect
voyons;let's see
sac;bag
continue;continue
acheter;buy
voix;voice
certains;some
occuper;occupy
noël;christmas
gagner;earn
grâce;grace
maître;master
prix;price
mauvaise;bad
général;general
âge;age
long;long
rue;street
tirer;to pull
apprendre;learn
cheveux;hair
noir;black
promis;promised
avaient;had
patron;boss
avocat;lawyer
force;strength
accident;accident
dix;ten
probablement;probably
laissez;let
bout;end 
ordre;order
armes;weapons
cru;believed
déteste;hated
retrouver;find
millions;million
incroyable;amazing
voyage;journey
ailleurs;elsewhere
oublie;forget
ressemble;looks like
bienvenue;welcome
disparu;disappeared
protéger;protect
utiliser;to use
situation;situation
petits;small
aurai;will have
veux-tu;do you want
connaissez;know
simplement;simply
scène;scene
sœur;sister
prête;ready
oncle;uncle
devriez;should
liste;list
soeur;sister
complètement;completely
dos;back
armée;army
paix;peace
battre;beat
york;york
crime;crime
anniversaire;birthday
finir;finish
réussi;successful
agit;acts
i;i
retourner;return
sale;dirty
libre;free
bouge;move
contrôle;control
rappelle;reminds
arrêté;arrested
hôtel;hotel
idiot;silly
okay;okay
rencontré;encounter
restez;stay
absolument;absolutely
mots;words
victime;victim
impression;impression
décidé;decided
sympa;nice
pars;leave
fasse;do
avion;plane
bordel;mess
habitude;habit
table;table
rouge;red
système;system
photos;pictures
médecin;doctor
