Italian;English
e;and
non;not
che;that
di;of
la;there
il;the
un;a
a;to
per;for
è;and
in;in
una;a
mi;me
sono;i am
ho;i have
l';the
si;yes
ha;ha
ma;but
lo;the
cosa;what
con;with
no;no
le;the
ti;you
se;if
da;from
i;the
come;as
io;i
ci;there
hai;you have
questo;this
bene;well
qui;here
sei;six
del;of
tu;you
solo;alone
mio;my
al;al
me;me
tutto;all
c';there
te;tea
era;era
della;from the
mia;my
fatto;done
fare;do
essere;to be
so;i know
quando;when
sì;yes
ora;now
lei;she
gli;the
ne;no
oh;oh
questa;this
detto;said
ok;ok
va;go
perche;why
quello;that
mai;never
alla;at the
o;or
anche;also
stato;state
abbiamo;we have
tutti;everyone
dei;of the
grazie;thank you
chi;who
sta;is
molto;very
più;more
voglio;i want
perché;why
tuo;your
beh;well
sia;is
nel;in the
lui;him
allora;at that time
posso;i can
piu;more
ehi;hey
prima;before
tua;your
suo;his
niente;nothing
qualcosa;something
sai;you know
siamo;we are
un';a
cosi;like this
davvero;really
ancora;still
hanno;they have
stai;you are
fa;ago
sua;its
così;like this
casa;house
uno;a
dove;where
su;on
vero;TRUE
vuoi;you want
noi;us
due;two
quindi;therefore
dire;say
d';d'
delle;from the
quella;that
sempre;always
altro;other
sto;i'm
andare;go
ad;to
po;bit
loro;they
devo;i have to
quel;that
forse;perhaps
li;there
proprio;own
certo;certain
tempo;time
nella;in the
poi;then
vi;you
credo;i believe
vita;life
cose;things
sul;on the
quanto;how much
puoi;you can
fuori;out
anni;years
cui;which
andiamo;let's go
dell';of the
parte;part
visto;view
qualcuno;someone
all';to
lavoro;work
voi;you
ciao;hi
dio;god
volta;time
dopo;after
adesso;now
stata;was
uomo;man
padre;father
devi;you have to
bisogno;need
gia;already
amico;friend
ed;and
posto;place
nessuno;nobody
via;away
cos';what is it
fai;you do
signore;gentleman
meglio;better
cazzo;fuck
dai;come on
dal;from the
vuole;wants
sembra;it seems
giorno;day
ogni;everything is fine
modo;way
senza;without
vedere;see
dobbiamo;we have to
signor;mr
qualche;some
dispiace;sorry
penso;i think
ecco;here you are
parlare;speak
tra;between
mamma;mom
già;already
sarebbe;would be
dalla;from the
troppo;too
fosse;is
possiamo;we can
ce;there is
nuovo;new
male;bad
madre;mother
avete;you have
tanto;a lot
favore;favor
successo;success
vai;go
sulla;on the
giusto;right
sa;you know
miei;my
aspetta;wait
avere;have
altra;other
farlo;do it
alle;at
facendo;doing
abbia;have
momento;moment
ero;i was
aveva;i had
ragazzi;boys
deve;must
persone;people
nostro;our
tipo;type
prego;please
grande;big
può;can
senti;listen
appena;as soon as
potrebbe;could be
soldi;money
dice;he says
sapere;know
tre;three
oggi;today
questi;these
piace;pleases
idea;idea
siete;you are
ai;to the
avevo;i had
figlio;son
accordo;agreement
gente;people
sicuro;safe
vieni;you come
degli;of the
guarda;look
dentro;in
trovato;found
queste;these
caso;case
forza;force
dov';where's
tutte;all
pensi;you think
signora;lady
faccio;i do
nome;name
